from;to;connection;weight
Roland Hartwig;Ulrich Vosgerau;Gasthof Adlon Correctiv;2
Roland Hartwig;Michaela Schneider;Gasthof Adlon Correctiv;2
Roland Hartwig;Mathilda Huss;Gasthof Adlon Correctiv;2
Roland Hartwig;Wilhelm Wilderink;Gasthof Adlon Correctiv;2
Roland Hartwig;Mario Müller;Gasthof Adlon Correctiv;2
Roland Hartwig;Astrid Mörig;Gasthof Adlon Correctiv;2
Roland Hartwig;Arne Friedrich Mörig;Gasthof Adlon Correctiv;2
Roland Hartwig;Ulrich Siegmund;Gasthof Adlon Correctiv;2
Roland Hartwig;Gerrit Huy;Gasthof Adlon Correctiv;2
Roland Hartwig;Gernot Mörig;Gasthof Adlon Correctiv;2
Roland Hartwig;Tim Krause;Gasthof Adlon Correctiv;2
Roland Hartwig;Martin Sellner;Gasthof Adlon Correctiv;2
Roland Hartwig;Simone Baum;Gasthof Adlon Correctiv;2
Martin Sellner;Michael Seibold;Wanderung der IB;3
Martin Sellner;Ellen Kositza;Sommerfest auf der Terrasse;1
Martin Sellner;Vincenzo Richter;Sommerfest auf der Terrasse;1
Martin Sellner;Philip Stein;Sommerfest auf der Terrasse;1
Martin Sellner;Dominik Kaufner;Sommerfest auf der Terrasse;1
Martin Sellner;Jean-Pascal Hohm;Sommerfest auf der Terrasse;1
Martin Sellner;Matthias Helferich;Sommerfest auf der Terrasse;1
Martin Sellner;Marvin T. Neumann;Sommerfest auf der Terrasse;1
Martin Sellner;Mary Khan-Hohloch;Sommerfest auf der Terrasse;1
Martin Sellner;Torben Braga;Sommerfest auf der Terrasse;1
Martin Sellner;Kristin Brinker;Sommerfest auf der Terrasse;1
Martin Sellner;Benedikt Kaiser;Sommerfest auf der Terrasse;1
Martin Sellner;Maximilian Krah;Sommerfest auf der Terrasse;1
Martin Sellner;Götz Kubitschek;Sommerfest auf der Terrasse;1
Martin Sellner;Ulrich Vosgerau;Gasthof Adlon Correctiv;2
Martin Sellner;Michaela Schneider;Gasthof Adlon Correctiv;2
Martin Sellner;Mathilda Huss;Gasthof Adlon Correctiv;2
Martin Sellner;Wilhelm Wilderink;Gasthof Adlon Correctiv;2
Martin Sellner;Mario Müller;Gasthof Adlon Correctiv;2
Martin Sellner;Simone Baum;Gasthof Adlon Correctiv;2
Alice Weidel;Tino Chrupalla;AfD Bundestag;3
Alice Weidel;Petr Bystron;AfD Bundestag;3
Alice Weidel;Gerrit Huy;AfD Bundestag;3
Alice Weidel;Roland Hartwig;AfD Bundestag;3
Wilhelm Wilderink;Ulrich Vosgerau;Gasthof Adlon Correctiv;2
Wilhelm Wilderink;Michaela Schneider;Gasthof Adlon Correctiv;2
Wilhelm Wilderink;Simone Baum;Gasthof Adlon Correctiv;2
Mathilda Huss;Ellen Kositza;Sommerfest auf der Terrasse;1
Mathilda Huss;Vincenzo Richter;Sommerfest auf der Terrasse;1
Mathilda Huss;Philip Stein;Sommerfest auf der Terrasse;1
Mathilda Huss;Ulrich Vosgerau;Gasthof Adlon Correctiv;2
Mathilda Huss;Michaela Schneider;Gasthof Adlon Correctiv;2
Mathilda Huss;Simone Baum;Gasthof Adlon Correctiv;2
Mathilda Huss;Maximilian Krah;Gasthof Adlon;3
Mathilda Huss;Wilhelm Wilderink;Gasthof Adlon Correctiv;4
Hans-Georg Maaßen;David Bendels;Deutschland Kurier Frühlingsfest Gasthof Adlon;1
Hans-Georg Maaßen;Stefan Keuter;Deutschland Kurier Frühlingsfest Gasthof Adlon;1
Hans-Georg Maaßen;Martin Reichardt;Deutschland Kurier Frühlingsfest Gasthof Adlon;1
Hans-Georg Maaßen;Karsten Hilse;Deutschland Kurier Frühlingsfest Gasthof Adlon;1
Hans-Georg Maaßen;Tim Krause;Deutschland Kurier Frühlingsfest Gasthof Adlon;1
Hans-Georg Maaßen;Petr Bystron;Deutschland Kurier Frühlingsfest Gasthof Adlon;1
Hans-Georg Maaßen;Klaus Pede;Werteunion;3
Hans-Georg Maaßen;Maximilian Krah;Deutschland Kurier Frühlingsfest Gasthof Adlon;2
Hans-Georg Maaßen;Mathilda Huss;Deutschland Kurier Frühlingsfest Gasthof Adlon;2
Hans-Georg Maaßen;Simone Baum;Werteunion;3
Jeremy Fragrance;David Bendels;Annual Gala des New York Young Republican Club;1
Jeremy Fragrance;Mathilda Huss;Annual Gala des New York Young Republican Club;1
Jeremy Fragrance;Maximilian Krah;Annual Gala des New York Young Republican Club;1
Matthias Helferich;Ellen Kositza;Sommerfest auf der Terrasse;1
Matthias Helferich;Vincenzo Richter;Sommerfest auf der Terrasse;1
Matthias Helferich;Philip Stein;Sommerfest auf der Terrasse;1
Matthias Helferich;Mathilda Huss;Sommerfest auf der Terrasse;1
Matthias Helferich;Dominik Kaufner;Sommerfest auf der Terrasse;1
Matthias Helferich;Jean-Pascal Hohm;Sommerfest auf der Terrasse;1
Matthias Helferich;Dominik Asch;Treffen der AfD Jugend BW und der IB im Landtag;2
Matthias Helferich;Anton Baron;Treffen der AfD Jugend BW und der IB im Landtag;2
Matthias Helferich;Steffen Degler;Treffen der AfD Jugend BW und der IB im Landtag;2
Matthias Helferich;Nils Hartwig;Treffen Wahlkriesbüro Helferich Januar 2024;3
Matthias Helferich;Götz Kubitschek;Treffen Wahlkriesbüro Helferich Januar 2024;3
Matthias Helferich;Björn Höcke;Treffen Wahlkriesbüro Helferich Januar 2024;3
Björn Höcke;Maximilian Krah;AfD Partei;3
Björn Höcke;Tino Chrupalla;AfD Partei;3
Björn Höcke;Manuel Wurm;AfD Hessen;1
Björn Höcke;Torben Braga;AfD Thüringen;3
Björn Höcke;Alice Weidel;AfD Partei;3
Björn Höcke;Nils Hartwig;Treffen Wahlkriesbüro Helferich Januar 2024;3
Björn Höcke;Götz Kubitschek;Treffen Wahlkriesbüro Helferich Januar 2024;3
Nils Hartwig;Götz Kubitschek;Treffen Wahlkriesbüro Helferich Januar 2024;3
Götz Kubitschek;Vincenzo Richter;Sommerfest auf der Terrasse;1
Götz Kubitschek;Philip Stein;Sommerfest auf der Terrasse;1
Götz Kubitschek;Mathilda Huss;Sommerfest auf der Terrasse;1
Götz Kubitschek;Dominik Kaufner;Sommerfest auf der Terrasse;1
Götz Kubitschek;Jean-Pascal Hohm;Sommerfest auf der Terrasse;1
Götz Kubitschek;Marvin T. Neumann;Sommerfest auf der Terrasse;1
Götz Kubitschek;Mary Khan-Hohloch;Sommerfest auf der Terrasse;1
Götz Kubitschek;Torben Braga;Sommerfest auf der Terrasse;1
Götz Kubitschek;Kristin Brinker;Sommerfest auf der Terrasse;1
Götz Kubitschek;Benedikt Kaiser;Sommerfest auf der Terrasse;1
Götz Kubitschek;Maximilian Krah;Sommerfest auf der Terrasse;1
Götz Kubitschek;Ellen Kositza;Verheiratet;4
Götz Kubitschek;Jürgen Elsässer;Kooperationspartner;3
Oliver Flesch;Maximilian Krah;Deutschland Kurier Frühlingsfest Gasthof Adlon;1
Oliver Flesch;David Bendels;Deutschland Kurier Frühlingsfest Gasthof Adlon;1
Oliver Flesch;Martin Reichardt;Deutschland Kurier Frühlingsfest Gasthof Adlon;1
Oliver Flesch;Karsten Hilse;Deutschland Kurier Frühlingsfest Gasthof Adlon;1
Oliver Flesch;Petr Bystron;Deutschland Kurier Frühlingsfest Gasthof Adlon;1
Oliver Flesch;Tim Krause;Deutschland Kurier Frühlingsfest Gasthof Adlon;1
Oliver Flesch;Hans-Georg Maaßen;Deutschland Kurier Frühlingsfest Gasthof Adlon;1
Petr Bystron;Tino Chrupalla;AfD Bundestag;3
Petr Bystron;Maximilian Krah;Deutschland Kurier Frühlingsfest Gasthof Adlon;1
Petr Bystron;Stefan Keuter;AfD Bundestag;2
Petr Bystron;Martin Reichardt;AfD Bundestag;2
Petr Bystron;Karsten Hilse;AfD Bundestag;2
Petr Bystron;Tim Krause;Deutschland Kurier Frühlingsfest Gasthof Adlon;2
David Bendels;Mathilda Huss;Deutschland Kurier Frühlingsfest Gasthof Adlon;1
David Bendels;Maximilian Krah;Deutschland Kurier Frühlingsfest Gasthof Adlon;1
David Bendels;Stefan Keuter;Deutschland Kurier Frühlingsfest Gasthof Adlon;1
David Bendels;Petr Bystron;Deutschland Kurier Frühlingsfest Gasthof Adlon;1
David Bendels;Karsten Hilse;Deutschland Kurier Frühlingsfest Gasthof Adlon;1
David Bendels;Martin Reichardt;Deutschland Kurier Frühlingsfest Gasthof Adlon;1
David Bendels;Tim Krause;Deutschland Kurier Frühlingsfest Gasthof Adlon;1
Karsten Hilse;Maximilian Krah;Deutschland Kurier Frühlingsfest Gasthof Adlon;1
Stefan Keuter;Maximilian Krah;Deutschland Kurier Frühlingsfest Gasthof Adlon;1
Klaus Pede;Mathilda Huss;Deutschland Kurier Frühlingsfest Gasthof Adlon;1
Klaus Pede;Maximilian Krah;Deutschland Kurier Frühlingsfest Gasthof Adlon;1
Klaus Pede;Petr Bystron;Deutschland Kurier Frühlingsfest Gasthof Adlon;1
Klaus Pede;Tim Krause;Deutschland Kurier Frühlingsfest Gasthof Adlon;1
Klaus Pede;Karsten Hilse;Deutschland Kurier Frühlingsfest Gasthof Adlon;1
Klaus Pede;Martin Reichardt;Deutschland Kurier Frühlingsfest Gasthof Adlon;1
Klaus Pede;Stefan Keuter;Deutschland Kurier Frühlingsfest Gasthof Adlon;1
Klaus Pede;David Bendels;Deutschland Kurier Frühlingsfest Gasthof Adlon;1
Astrid Mörig;Svenja Mörig;Mörig-Clan;4
Astrid Mörig;Ulrich Vosgerau;Gasthof Adlon Correctiv;2
Astrid Mörig;Michaela Schneider;Gasthof Adlon Correctiv;2
Astrid Mörig;Simone Baum;Gasthof Adlon Correctiv;2
Astrid Mörig;Mathilda Huss;Gasthof Adlon Correctiv;2
Astrid Mörig;Wilhelm Wilderink;Gasthof Adlon Correctiv;2
Astrid Mörig;Mario Müller;Gasthof Adlon Correctiv;2
Astrid Mörig;Martin Sellner;Gasthof Adlon Correctiv;2
Arne Friedrich Mörig;Svenja Mörig;Mörig-Clan;4
Arne Friedrich Mörig;Ulrich Vosgerau;Gasthof Adlon Correctiv;2
Arne Friedrich Mörig;Michaela Schneider;Gasthof Adlon Correctiv;2
Arne Friedrich Mörig;Simone Baum;Gasthof Adlon Correctiv;2
Arne Friedrich Mörig;Mathilda Huss;Gasthof Adlon Correctiv;2
Arne Friedrich Mörig;Wilhelm Wilderink;Gasthof Adlon Correctiv;2
Arne Friedrich Mörig;Mario Müller;Gasthof Adlon Correctiv;2
Arne Friedrich Mörig;Martin Sellner;Gasthof Adlon Correctiv;2
Arne Friedrich Mörig;Astrid Mörig;Mörig-Clan;4
Gernot Mörig;Svenja Mörig;Mörig-Clan;4
Gernot Mörig;Wiebke Mörig;Mörig-Clan;4
Gernot Mörig;Inka Mörig;Mörig-Clan;4
Gernot Mörig;Max Otte;Düsseldofer Runden;2
Gernot Mörig;Tino Chrupalla;5. Düsseldorfer Runde;1
Gernot Mörig;Volker Pispers;"""Pispers Wagenknecht Abendessen";2
Gernot Mörig;Sarah Wagenknecht;Pispers Wagenknecht Abendessen;1
Gernot Mörig;Ulrich Vosgerau;Gasthof Adlon Correctiv;2
Gernot Mörig;Michaela Schneider;Gasthof Adlon Correctiv;2
Gernot Mörig;Simone Baum;Gasthof Adlon Correctiv;2
Gernot Mörig;Mathilda Huss;Gasthof Adlon Correctiv;2
Gernot Mörig;Wilhelm Wilderink;Gasthof Adlon Correctiv;2
Gernot Mörig;Mario Müller;Gasthof Adlon Correctiv;2
Gernot Mörig;Martin Sellner;Gasthof Adlon Correctiv;2
Gernot Mörig;Astrid Mörig;Mörig-Clan;4
Gernot Mörig;Arne Friedrich Mörig;Mörig-Clan;4
Silke Schröder;Henning Pless;Gasthof Adlon Correctiv;2
Silke Schröder;Ulrich Vosgerau;Gasthof Adlon Correctiv;2
Silke Schröder;Michaela Schneider;Gasthof Adlon Correctiv;2
Silke Schröder;Simone Baum;Gasthof Adlon Correctiv;2
Silke Schröder;Mathilda Huss;Gasthof Adlon Correctiv;2
Silke Schröder;Wilhelm Wilderink;Gasthof Adlon Correctiv;2
Silke Schröder;Mario Müller;Gasthof Adlon Correctiv;2
Silke Schröder;Martin Sellner;Gasthof Adlon Correctiv;2
Silke Schröder;Astrid Mörig;Gasthof Adlon Correctiv;2
Silke Schröder;Arne Friedrich Mörig;Gasthof Adlon Correctiv;2
Silke Schröder;Gernot Mörig;Gasthof Adlon Correctiv;2
Silke Schröder;Tim Krause;Gasthof Adlon Correctiv;2
Silke Schröder;Ulrich Siegmund;Gasthof Adlon Correctiv;2
Silke Schröder;Gerrit Huy;Gasthof Adlon Correctiv;2
Silke Schröder;Roland Hartwig;Gasthof Adlon Correctiv;2
Henning Pless;Ulrich Vosgerau;Gasthof Adlon Correctiv;2
Henning Pless;Michaela Schneider;Gasthof Adlon Correctiv;2
Henning Pless;Simone Baum;Gasthof Adlon Correctiv;2
Henning Pless;Mathilda Huss;Gasthof Adlon Correctiv;2
Henning Pless;Wilhelm Wilderink;Gasthof Adlon Correctiv;2
Henning Pless;Mario Müller;Gasthof Adlon Correctiv;2
Henning Pless;Martin Sellner;Gasthof Adlon Correctiv;2
Henning Pless;Astrid Mörig;Gasthof Adlon Correctiv;2
Henning Pless;Arne Friedrich Mörig;Gasthof Adlon Correctiv;2
Henning Pless;Gernot Mörig;Gasthof Adlon Correctiv;2
Henning Pless;Tim Krause;Gasthof Adlon Correctiv;2
Henning Pless;Ulrich Siegmund;Gasthof Adlon Correctiv;2
Henning Pless;Gerrit Huy;Gasthof Adlon Correctiv;2
Henning Pless;Roland Hartwig;Gasthof Adlon Correctiv;2
Gerrit Huy;Tino Chrupalla;AfD Bundestag;3
Gerrit Huy;Wilhelm Wilderink;Gasthof Adlon Correctiv;2
Gerrit Huy;Mario Müller;Gasthof Adlon Correctiv;2
Gerrit Huy;Martin Sellner;Gasthof Adlon Correctiv;2
Gerrit Huy;Mathilda Huss;Gasthof Adlon Correctiv;2
Gerrit Huy;Ulrich Vosgerau;Gasthof Adlon Correctiv;2
Gerrit Huy;Michaela Schneider;Gasthof Adlon Correctiv;2
Gerrit Huy;Simone Baum;Gasthof Adlon Correctiv;2
